,query,before,after,reduction
0,10 richest people in the world,86,25,70.93023255813954
1,aerport,94,64,31.914893617021278
2,airplane crashes,92,40,56.52173913043478
3,airplane,93,69,25.806451612903224
4,algeria independence,90,24,73.33333333333333
5,android,90,56,37.77777777777778
6,arabic text in mysql,91,65,28.57142857142857
7,basketball,95,76,20.0
8,Beirut port explosion,94,35,62.76595744680851
9,benefits of anise,98,18,81.63265306122449
10,big data,93,26,72.04301075268818
11,biggest family in the world,94,30,68.08510638297872
12,bill gates,92,39,57.608695652173914
13,blur detection techniques,62,37,40.32258064516129
14,Bombe de Hiroshima,99,30,69.6969696969697
15,brain nerves,94,29,69.14893617021278
16,byzantines,92,52,43.47826086956522
17,C++,92,69,25.0
18,Causes de maux de tête,98,24,75.51020408163265
19,Causes of World War two,91,21,76.92307692307693
20,charlie and dixie d amelio,87,36,58.620689655172406
21,climate change risk,88,17,80.68181818181817
22,compress pdf file,95,35,63.1578947368421
23,corona pandemic,92,35,61.95652173913043
24,Covid 19 vaccine,99,41,58.58585858585859
25,covid-19,100,47,53.0
26,crusades,88,28,68.18181818181817
27,cython,93,31,66.66666666666666
28,data mining applied for risk management,80,36,55.00000000000001
29,data science,90,35,61.111111111111114
30,definition of each religion,83,23,72.28915662650603
31,django,92,40,56.52173913043478
32,doctor,95,73,23.157894736842106
33,douleurs dentaires,100,27,73.0
34,Economic crisis in Lebanon,94,24,74.46808510638297
35,egyptian independence,88,26,70.45454545454545
36,egyptian revolution,89,24,73.03370786516854
37,eiffle tower,94,34,63.829787234042556
38,Einstein,88,40,54.54545454545454
39,eye surgery,96,18,81.25
40,finance,95,64,32.631578947368425
41,first person on the moon,93,19,79.56989247311827
42,First World War,95,22,76.84210526315789
43,football,99,72,27.27272727272727
44,guerre américaine japonaise,98,30,69.38775510204081
45,Headache,98,20,79.59183673469387
46,histoire de la suisse,95,37,61.05263157894737
47,History of Buddhism in India,89,20,77.52808988764045
48,Hitler,85,25,70.58823529411765
49,how many leters should we drink in a day,99,12,87.87878787878788
50,how to make money online,93,23,75.26881720430107
51,install eclipse windows 10,91,29,68.13186813186813
52,internet of things,94,24,74.46808510638297
53,inventor of electricity,96,21,78.125
54,iphone 12 pro max,88,46,47.72727272727273
55,istanbul,94,44,53.191489361702125
56,italian pasta recipes,94,42,55.319148936170215
57,java,93,70,24.731182795698924
58,joelle mardinian fashion program,93,53,43.01075268817204
59,l histoire de la France,99,43,56.56565656565656
60,L indépendance du Liban,97,30,69.0721649484536
61,L Internet des objets,97,18,81.44329896907216
62,la grippe,99,32,67.67676767676768
63,La naissance de la Terre,99,47,52.52525252525253
