,query,0.6,0.63,0.67,0.7,0.71,0.74,0.77,0.8,0.87,0.9
0,10 richest people in the world,83.72,80.23,75.58,70.93,68.60,58.14,40.70,20.93,0.00,0.00
1,aerport,58.51,54.26,42.55,31.91,31.91,18.09,5.32,2.13,0.00,0.00
2,airplane crashes,71.74,67.39,63.04,56.52,52.17,39.13,17.39,5.43,1.09,1.09
3,airplane,56.99,50.54,34.41,25.81,21.51,11.83,5.38,1.08,0.00,0.00
4,algeria independence,84.44,81.11,75.56,73.33,71.11,61.11,47.78,23.33,6.67,6.67
5,android,62.22,60.00,48.89,37.78,32.22,14.44,3.33,2.22,0.00,0.00
6,arabic text in mysql,64.84,57.14,45.05,28.57,25.27,12.09,5.49,0.00,0.00,0.00
7,basketball,43.16,38.95,30.53,20.00,14.74,1.05,0.00,0.00,0.00,0.00
8,Beirut port explosion,70.21,67.02,67.02,62.77,60.64,55.32,37.23,17.02,1.06,0.00
9,benefits of anise,88.78,84.69,81.63,81.63,79.59,73.47,57.14,13.27,0.00,0.00
10,big data,84.95,79.57,75.27,72.04,69.89,61.29,40.86,21.51,0.00,0.00
11,biggest family in the world,73.40,72.34,71.28,68.09,65.96,59.57,43.62,21.28,2.13,0.00
12,bill gates,66.30,63.04,59.78,57.61,54.35,42.39,25.00,11.96,1.09,1.09
13,blur detection techniques,50.00,48.39,41.94,40.32,35.48,27.42,14.52,4.84,1.61,1.61
14,Bombe de Hiroshima,76.77,75.76,73.74,69.70,65.66,59.60,45.45,21.21,1.01,0.00
15,brain nerves,88.30,80.85,76.60,69.15,62.77,52.13,42.55,27.66,5.32,1.06
16,byzantines,59.78,55.43,50.00,43.48,39.13,28.26,19.57,10.87,2.17,0.00
17,C++,61.96,52.17,44.57,25.00,23.91,8.70,4.35,1.09,0.00,0.00
18,Causes de maux de tête,80.61,78.57,76.53,75.51,73.47,67.35,54.08,24.49,1.02,0.00
19,Causes of World War two,82.42,79.12,78.02,76.92,75.82,73.63,60.44,40.66,2.20,2.20
20,charlie and dixie d amelio,64.37,64.37,62.07,58.62,57.47,45.98,22.99,5.75,0.00,0.00
21,climate change risk,89.77,88.64,84.09,80.68,78.41,59.09,30.68,3.41,0.00,0.00
22,compress pdf file,76.84,75.79,69.47,63.16,62.11,51.58,28.42,5.26,0.00,0.00
23,corona pandemic,80.43,75.00,69.57,61.96,57.61,42.39,14.13,3.26,1.09,0.00
24,Covid 19 vaccine,79.80,75.76,66.67,58.59,53.54,39.39,21.21,3.03,0.00,0.00
25,covid-19,78.00,72.00,62.00,53.00,50.00,30.00,10.00,2.00,0.00,0.00
26,crusades,72.73,71.59,70.45,68.18,67.05,63.64,50.00,32.95,3.41,1.14
27,cython,77.42,75.27,70.97,66.67,65.59,52.69,23.66,7.53,1.08,1.08
28,data mining applied for risk management,70.00,67.50,63.75,55.00,53.75,43.75,32.50,12.50,3.75,3.75
29,data science,81.11,76.67,68.89,61.11,58.89,40.00,26.67,4.44,0.00,0.00
30,definition of each religion,81.93,78.31,75.90,72.29,71.08,59.04,45.78,12.05,0.00,0.00
31,django,75.00,72.83,64.13,56.52,51.09,38.04,14.13,3.26,1.09,1.09
32,doctor,52.63,46.32,30.53,23.16,22.11,9.47,4.21,2.11,1.05,0.00
33,douleurs dentaires,82.00,80.00,78.00,73.00,71.00,56.00,29.00,6.00,1.00,0.00
34,Economic crisis in Lebanon,81.91,79.79,77.66,74.47,74.47,73.40,53.19,21.28,0.00,0.00
35,egyptian independence,75.00,75.00,72.73,70.45,70.45,62.50,50.00,12.50,1.14,1.14
36,egyptian revolution,79.78,77.53,76.40,73.03,73.03,60.67,41.57,19.10,2.25,1.12
37,eiffle tower,75.53,73.40,69.15,63.83,60.64,53.19,45.74,30.85,8.51,7.45
38,Einstein,71.59,65.91,61.36,54.55,50.00,42.05,28.41,18.18,0.00,0.00
